Program Totals Report - Baseball 2015,,,,,,,,
Open River - All Programs,,,,,,,,
,,,,,,,,
Open River - Preschool,,,,,,,,
Program Code,Program Name,Minimum,Maximum,Enroll,Web Enroll,Waits,Open,Income
TBALL,T-Ball,10,34,34,11,0,0,"$1,870.00"
,,,,,,,,
Open River - Youth,,,,,,,,
Program Code,Program Name,Minimum,Maximum,Enroll,Web Enroll,Waits,Open,Income
BBALL,Bantam,10,24,13,1,0,11,"$1,625.00"
Jr.MBALL,Jr. Mosquito,10,100,33,4,0,67,"$3,630.00"
MBALL,Mosquito,10,100,82,6,0,18,"$4,500.00"
PBALL,Peewee,10,42,41,1,0,1,"$4,375.00"
RCBALL,Rally Cap,10,58,20,1,0,38,"$1,700.00"
YBALL,Youth,9,19,18,3,0,1,"$2,250.00"
,,,,,,,,
