Program Totals Report - Winter 2015,,,,,,,,
Open River - All Programs,,,,,,,,
,,,,,,,,
Open River - Adult,,,,,,,,
Program Code,Program Name,Minimum,Maximum,Enroll,Web Enroll,Waits,Open,Income
AC,Art Club,2,18,15,3,0,3,$450.00
KFB,Knitting for Beginners,5,15,8,4,0,7,$240.00
CAB,Co-ed Adult Badminton,8,40,17,3,0,23,$150.00
MBHW,Men's Ball Hockey,12,30,24,0,0,6,$360.00
,,,,,,,,
Open River - Family,,,,,,,,
Program Code,Program Name,Minimum,Maximum,Enroll,Web Enroll,Waits,Open,Income
FAN,Family Art Night,1,15,7,2,0,8,$35.00
,,,,,,,,
Open River - Preschool,,,,,,,,
Program Code,Program Name,Minimum,Maximum,Enroll,Web Enroll,Waits,Open,Income
ArtClass2-5yrs,Kinder Art Class- Ages 2-5 years,5,11,6,4,0,5,$540.00
PSMW,Open River Playschool M&W,6,8,8,0,0,0,"$2,500.00"
,,,,,,,,
Open River - Youth,,,,,,,,
Program Code,Program Name,Minimum,Maximum,Enroll,Web Enroll,Waits,Open,Income
Artclass6-8yrs,Youth Art Class-Ages 6-8 years,5,11,8,6,0,3,$760.00
ArtClass9-12yrs,Youth Art Class-Ages 9-12 years,5,11,11,6,0,0,"$1,375.00"
ASAC,Afterschool Arts & Crafts,7,15,11,5,0,4,$605.00
MarBrArt,March Break Art Camp,5,27,23,5,0,4,$543.00
MBC,March Break Camp 2015,6,20,16,1,0,4,$550.00
IIH,Instructional Ice Hockey,10,41,41,0,1,0,"$1,025.00"
,,,,,,,,
